CAEN Rev.2  (activitati ale economiei nationale), Clase de marime, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Miliarde lei  lei RON  mii lei RON milioane lei RON (incepand cu 2005), Valoare
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2023, Milioane lei RON, 155
B  INDUSTRIA EXTRACTIVA, Total, Botosani, Anul 2024, Milioane lei RON, 210
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2008, Milioane lei RON, 22
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2009, Milioane lei RON, 50
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2010, Milioane lei RON, 34
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2011, Milioane lei RON, 32
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2012, Milioane lei RON, 38
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2013, Milioane lei RON, 28
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2014, Milioane lei RON, 22
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2015, Milioane lei RON, 26
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2016, Milioane lei RON, 9
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2017, Milioane lei RON, 23
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2018, Milioane lei RON, 44
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2019, Milioane lei RON, 519
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2020, Milioane lei RON, 204
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2021, Milioane lei RON, 181
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2022, Milioane lei RON, 321
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2023, Milioane lei RON, 53
B  INDUSTRIA EXTRACTIVA, Total, Iasi, Anul 2024, Milioane lei RON, 139
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2008, Milioane lei RON, 48
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2009, Milioane lei RON, 38
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2010, Milioane lei RON, 40
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2011, Milioane lei RON, 38
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2012, Milioane lei RON, 57
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2013, Milioane lei RON, 24
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2014, Milioane lei RON, 31
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2015, Milioane lei RON, 34
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2016, Milioane lei RON, 36
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2017, Milioane lei RON, 46
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2018, Milioane lei RON, 71
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2019, Milioane lei RON, 83
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2020, Milioane lei RON, 100
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2021, Milioane lei RON, 86
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2022, Milioane lei RON, 88
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2023, Milioane lei RON, 104
B  INDUSTRIA EXTRACTIVA, Total, Neamt, Anul 2024, Milioane lei RON, 134
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2008, Milioane lei RON, 111
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2009, Milioane lei RON, 50
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2010, Milioane lei RON, 49
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2011, Milioane lei RON, 73
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2012, Milioane lei RON, 91
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2013, Milioane lei RON, 71
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2014, Milioane lei RON, 91
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2015, Milioane lei RON, 98
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2016, Milioane lei RON, 136
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2017, Milioane lei RON, 117
B  INDUSTRIA EXTRACTIVA, Total, Suceava, Anul 2018, Milioane lei RON, 131
